Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14
False, -8.741230261230468, -1.7669208251953124, -3.641580725097656, -8.626308581542968, -1.675941162109375, -3.766079211425781, -8.78432589111328, -1.5083470458984374, -3.268085266113281, -8.092401611328125, -1.426944189453125, -2.748543505859375, -9.952696301269532, -1.7022773803710936, -5.329492895507812, -6.438008264160156, 0.06943184814453125, 2.3918074584960936, -8.86094034423828, 0.7924807495117187, -1.209071838378906, -14.03959853515625, -1.455674609375, -14.698003991699219, -9.751583361816406, -2.549824768066406, -19.46007109375, -8.465897070312499, -1.8076222534179687, -6.658274816894531, -4.247313745117188, -0.39743747558593745, 1.7812860351562498, -0.05027823486328125, 1.3623007446289062, 13.536816186523437, -1.0462661254882812, 1.4437036010742186, 15.459360119628906, -5.597643481445312, -0.7302315063476562, 5.051765502929687, 
False, -8.386888415527343, -2.2098481323242187, -5.090072729492187, -8.451531860351562, -1.8124106567382812, -4.687846850585937, -8.147468249511718, -1.7621324218749999, -4.829104748535156, -8.339004382324218, -1.66636435546875, -4.824316345214844, -8.473079675292968, -1.8650830932617186, -4.857835168457031, -7.584830859375, -1.180341418457031, -1.2425906616210938, -8.619125976562499, -0.9935936889648437, -4.6255976074218745, -8.664615808105468, -2.901772412109375, -6.9910688476562495, -7.656656909179687, -0.45489831542968745, 0.258573779296875, -8.810662109374999, -0.9457096557617187, -3.071760729980469, -8.264784130859374, -0.8762778076171874, -1.68551796875, -8.872911352539061, -2.437297290039062, -5.6407391113281244, -8.106766821289062, -1.5825672973632812, -4.680664245605469, -7.8362220336914055, -1.7788918334960937, -6.497863305664062, 
False, -8.595183959960938, -2.176329309082031, -5.078101721191406, -8.595183959960938, -1.7477672119140624, -4.69263525390625, -8.413224633789062, -1.8626888916015625, -4.458003491210937, -8.348581188964843, -1.7788918334960937, -5.813121630859374, -8.329427575683594, -1.7693150268554687, -4.714183068847656, -8.322244970703125, -1.7597382202148437, -4.802768530273437, -8.2743609375, -1.6448165405273436, -3.086125939941406, -8.537723120117187, -2.023100402832031, -7.709329345703124, -8.497021691894531, -1.9009961181640624, -4.122815258789062, -8.365340600585936, -1.8770541015625, -5.204994409179688, -8.573636145019531, -1.9704279663085937, -7.407659936523437, -8.571241943359375, -2.1260510742187497, -4.5585599609375, -8.717288244628906, -1.9752163696289062, -5.810727429199218, -8.729259252929687, -2.1452046874999997, -5.600037683105469, 
False, -8.420407238769531, -2.5546131713867184, -4.218583325195312, -8.451531860351562, -2.597708801269531, -4.129997863769531, -8.461108666992187, -2.6910826660156246, -4.254496350097656, -8.736441857910156, -2.482787121582031, -4.367023828124999, -8.420407238769531, -2.4253262817382812, -2.901772412109375, -8.307879760742187, -2.96881005859375, -3.1076737548828124, -8.63827958984375, -2.152387292480469, -3.861847277832031, -8.195352282714843, -2.683900061035156, -3.1555577880859373, -8.166621862792969, -2.3822306518554686, -2.4779987182617185, -8.497021691894531, -2.3487118286132813, -4.453215087890625, -8.40125362548828, -2.463633508300781, -3.909731311035156, -8.70771143798828, -2.0733786376953125, -4.568136767578125, -8.492233288574218, -1.9847931762695312, -3.0741549316406247, -8.556876733398436, -2.212242333984375, -4.027047192382812, 
False, -8.628702783203124, -2.4157494750976563, -3.9145197143554684, -8.659827404785156, -2.602497204589844, -3.7421371948242186, -8.482656481933594, -2.3032219970703123, -3.3638533325195312, -8.44674345703125, -2.8131869506835936, -4.833893151855468, -6.950367419433594, -2.1452046874999997, -0.12689268798828124, -9.943119494628906, -4.697423657226563, -6.924031201171875, -7.493851196289062, -2.1499930908203124, 0.38307226562499996, -8.465897070312499, -0.7422025146484375, -3.066972326660156, -8.611943371582031, -1.5035586425781249, -3.0430303100585934, -8.427589843749999, -1.6472107421875, -3.162740393066406, -8.403647827148436, -2.3822306518554686, -5.382165332031249, -8.801085302734375, -2.1212626708984375, -3.5434184570312497, -8.367734802246094, -2.3391350219726563, -3.833116857910156, -8.578424548339843, -2.5617957763671875, -4.783614916992187, 
False, -8.501810095214843, -2.319981408691406, -3.8762124877929685, -8.532934716796875, -2.3223756103515623, -3.782838623046875, -8.492233288574218, -2.3032219970703123, -4.122815258789062, -8.647856396484375, -2.5953145996093747, -4.496310717773437, -7.218518005371093, -1.9009961181640624, -3.864241479492187, -8.726865051269531, -3.038241906738281, -4.690241052246093, -8.506598498535157, -2.3223756103515623, -3.239354846191406, -8.801085302734375, -2.722207287597656, -3.7421371948242186, -8.406042028808594, -2.176329309082031, -3.347093920898437, -8.626308581542968, -2.6336218261718747, -4.364629626464843, -8.489839086914062, -2.528276953125, -3.938461730957031, -8.875305554199219, -2.1715409057617188, -4.302380383300781, -8.566453540039062, -2.559401574707031, -3.593696691894531, -8.334215979003906, -2.6791116577148437, -4.517858532714843, 
False, -8.518569506835936, -2.6048914062499997, -4.086902233886718, -8.279149340820313, -2.4756045166015626, -4.127603662109375, -8.245630517578125, -2.3535002319335936, -3.67749375, -8.365340600585936, -2.463633508300781, -4.165910888671875, -9.60793126220703, -1.927332336425781, -5.181052392578125, -7.8170684204101555, -2.138022082519531, -1.139639990234375, -8.853757739257812, -4.376600634765625, -6.490680700683593, -9.076418493652342, -1.6208745239257811, -3.0526071166992184, -7.764395983886718, -1.8818425048828125, -1.0462661254882812, -8.52335791015625, -2.5761609863281247, -7.721300354003906, -6.974309436035155, -1.85790048828125, 0.6655880615234374, -9.440337145996093, -2.5234885498046875, -4.723759875488281, -8.480262280273436, -1.5442600708007812, -2.779668127441406, -8.659827404785156, -2.147598889160156, -2.6144682128906247, 
False, -8.626308581542968, -2.3870190551757813, -3.5290532470703124, -8.48505068359375, -2.0877438476562498, -3.4332851806640625, -8.894459167480468, -3.0430303100585934, -5.494692810058593, -7.898471276855468, -1.6927005737304686, -1.2880804931640624, -9.785102185058593, -3.4763808105468748, -6.093243225097656, -7.254431030273437, -2.3439234252929686, -0.6775590698242188, -9.9215716796875, -2.6958710693359373, -4.867411975097656, -7.615955480957031, -2.5761609863281247, -1.448492004394531, -8.686163623046875, -2.5330653564453125, -4.716577270507813, -7.6997525390625, -2.6431986328124997, -1.3646949462890625, -10.007762939453125, -3.4548329956054684, -7.254431030273437, -7.714117749023437, -1.8100164550781248, -0.7996633544921875, -8.039729174804688, -2.530671154785156, -6.940790612792968, -8.40843623046875, -1.9225439331054686, -3.5913024902343746, 
False, -8.458714465332031, -2.360682836914062, -4.182670300292968, -8.429984045410155, -2.427720483398437, -4.204218115234375, -8.396465222167969, -2.4061726684570313, -4.271255761718749, -8.415618835449218, -2.3822306518554686, -4.199429711914062, -8.44674345703125, -2.3678654418945313, -4.295197778320312, -8.573636145019531, -2.4109610717773435, -4.165910888671875, -8.305485559082031, -2.4588451049804685, -4.134786267089844, -8.580818749999999, -2.427720483398437, -4.2329485351562495, -8.420407238769531, -2.3367408203125, -4.141968872070312, -8.449137658691406, -2.319981408691406, -4.290409374999999, -8.552088330078124, -2.43250888671875, -4.402936853027343, -8.463502868652343, -2.408566870117187, -4.151545678710937, -8.420407238769531, -2.384624853515625, -4.141968872070312, -8.444349255371094, -2.427720483398437, -4.091690637207031, 
False, -8.461108666992187, -2.39420166015625, -4.206612316894531, -8.415618835449218, -2.3535002319335936, -4.285620971679688, -8.303091357421874, -2.43250888671875, -4.146757275390625, -8.44674345703125, -2.3822306518554686, -4.187458703613281, -8.473079675292968, -2.39420166015625, -4.158728283691406, -8.444349255371094, -2.398990063476562, -4.237736938476562, -8.470685473632813, -2.422932080078125, -4.2688615600585935, -8.544905725097657, -2.308010400390625, -4.292803576660156, -8.300697155761718, -2.319981408691406, -4.031835595703125, -8.40843623046875, -2.482787121582031, -4.247313745117188, -8.44674345703125, -2.327164013671875, -4.000710974121094, -8.449137658691406, -2.6001030029296874, -4.168305090332031, -8.48505068359375, -2.310404602050781, -4.094084838867187, -8.310273962402343, -2.501940734863281, -4.2688615600585935, 
