Class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14
FALSE,-8.741230261230470,-1.7669208251953100,-3.641580725097660,-8.626308581542970,-1.675941162109380,-3.766079211425780,-8.78432589111328,-1.5083470458984400,-3.268085266113280,-8.092401611328130,-1.426944189453130,-2.748543505859380,-9.952696301269530,-1.7022773803710900,-5.329492895507810,-6.438008264160160,0.06943184814453130,2.3918074584960900,-8.86094034423828,0.7924807495117190,-1.209071838378910,-14.03959853515630,-1.455674609375,-14.698003991699200,-9.751583361816410,-2.549824768066410,-19.46007109375,-8.465897070312500,-1.8076222534179700,-6.658274816894530,-4.247313745117190,-0.39743747558593700,1.7812860351562500,-0.05027823486328130,1.3623007446289100,13.536816186523400,-1.0462661254882800,1.4437036010742200,15.459360119628900,-5.597643481445310,-0.7302315063476560,5.051765502929690
FALSE,-8.386888415527340,-2.2098481323242200,-5.090072729492190,-8.451531860351560,-1.8124106567382800,-4.687846850585940,-8.147468249511720,-1.7621324218750000,-4.829104748535160,-8.339004382324220,-1.66636435546875,-4.824316345214840,-8.473079675292970,-1.8650830932617200,-4.857835168457030,-7.584830859375,-1.180341418457030,-1.2425906616210900,-8.619125976562500,-0.9935936889648440,-4.6255976074218700,-8.664615808105470,-2.901772412109380,-6.9910688476562500,-7.656656909179690,-0.45489831542968700,0.258573779296875,-8.810662109375000,-0.9457096557617190,-3.071760729980470,-8.264784130859370,-0.8762778076171870,-1.68551796875,-8.872911352539060,-2.437297290039060,-5.6407391113281200,-8.106766821289060,-1.5825672973632800,-4.680664245605470,-7.8362220336914100,-1.7788918334960900,-6.497863305664060
FALSE,-8.595183959960940,-2.176329309082030,-5.078101721191410,-8.595183959960940,-1.7477672119140600,-4.69263525390625,-8.413224633789060,-1.8626888916015600,-4.458003491210940,-8.348581188964840,-1.7788918334960900,-5.813121630859370,-8.329427575683590,-1.7693150268554700,-4.714183068847660,-8.322244970703130,-1.7597382202148400,-4.802768530273440,-8.2743609375,-1.6448165405273400,-3.086125939941410,-8.537723120117190,-2.023100402832030,-7.709329345703120,-8.497021691894530,-1.9009961181640600,-4.122815258789060,-8.365340600585940,-1.8770541015625,-5.204994409179690,-8.573636145019530,-1.9704279663085900,-7.407659936523440,-8.571241943359380,-2.1260510742187500,-4.5585599609375,-8.717288244628910,-1.9752163696289100,-5.810727429199220,-8.729259252929690,-2.1452046875000000,-5.600037683105470
FALSE,-8.420407238769530,-2.5546131713867200,-4.218583325195310,-8.451531860351560,-2.597708801269530,-4.129997863769530,-8.461108666992190,-2.6910826660156200,-4.254496350097660,-8.736441857910160,-2.482787121582030,-4.367023828125000,-8.420407238769530,-2.4253262817382800,-2.901772412109380,-8.307879760742190,-2.96881005859375,-3.1076737548828100,-8.63827958984375,-2.152387292480470,-3.861847277832030,-8.195352282714840,-2.683900061035160,-3.1555577880859400,-8.166621862792970,-2.3822306518554700,-2.4779987182617200,-8.497021691894530,-2.3487118286132800,-4.453215087890630,-8.40125362548828,-2.463633508300780,-3.909731311035160,-8.70771143798828,-2.0733786376953100,-4.568136767578130,-8.492233288574220,-1.9847931762695300,-3.0741549316406200,-8.556876733398440,-2.212242333984380,-4.027047192382810
FALSE,-8.628702783203120,-2.4157494750976600,-3.9145197143554700,-8.659827404785160,-2.602497204589840,-3.7421371948242200,-8.482656481933590,-2.3032219970703100,-3.3638533325195300,-8.44674345703125,-2.8131869506835900,-4.833893151855470,-6.950367419433590,-2.1452046875000000,-0.12689268798828100,-9.943119494628910,-4.697423657226560,-6.924031201171880,-7.493851196289060,-2.1499930908203100,0.38307226562500000,-8.465897070312500,-0.7422025146484380,-3.066972326660160,-8.611943371582030,-1.5035586425781200,-3.0430303100585900,-8.427589843750000,-1.6472107421875,-3.162740393066410,-8.403647827148440,-2.3822306518554700,-5.382165332031250,-8.801085302734380,-2.1212626708984400,-3.5434184570312500,-8.367734802246090,-2.3391350219726600,-3.833116857910160,-8.578424548339840,-2.5617957763671900,-4.783614916992190
FALSE,-8.501810095214840,-2.319981408691410,-3.8762124877929700,-8.532934716796880,-2.3223756103515600,-3.782838623046880,-8.492233288574220,-2.3032219970703100,-4.122815258789060,-8.647856396484380,-2.5953145996093700,-4.496310717773440,-7.218518005371090,-1.9009961181640600,-3.864241479492190,-8.726865051269530,-3.038241906738280,-4.690241052246090,-8.506598498535160,-2.3223756103515600,-3.239354846191410,-8.801085302734380,-2.722207287597660,-3.7421371948242200,-8.406042028808590,-2.176329309082030,-3.347093920898440,-8.626308581542970,-2.6336218261718700,-4.364629626464840,-8.489839086914060,-2.528276953125,-3.938461730957030,-8.875305554199220,-2.1715409057617200,-4.302380383300780,-8.566453540039060,-2.559401574707030,-3.593696691894530,-8.334215979003910,-2.6791116577148400,-4.517858532714840
FALSE,-8.518569506835940,-2.6048914062500000,-4.086902233886720,-8.279149340820310,-2.4756045166015600,-4.127603662109380,-8.245630517578130,-2.3535002319335900,-3.67749375,-8.365340600585940,-2.463633508300780,-4.165910888671880,-9.60793126220703,-1.927332336425780,-5.181052392578130,-7.8170684204101600,-2.138022082519530,-1.139639990234380,-8.853757739257810,-4.376600634765630,-6.490680700683590,-9.076418493652340,-1.6208745239257800,-3.0526071166992200,-7.764395983886720,-1.8818425048828100,-1.0462661254882800,-8.52335791015625,-2.5761609863281200,-7.721300354003910,-6.974309436035160,-1.85790048828125,0.6655880615234370,-9.440337145996090,-2.5234885498046900,-4.723759875488280,-8.480262280273440,-1.5442600708007800,-2.779668127441410,-8.659827404785160,-2.147598889160160,-2.6144682128906200
FALSE,-8.626308581542970,-2.3870190551757800,-3.5290532470703100,-8.48505068359375,-2.0877438476562500,-3.4332851806640600,-8.894459167480470,-3.0430303100585900,-5.494692810058590,-7.898471276855470,-1.6927005737304700,-1.2880804931640600,-9.785102185058590,-3.4763808105468700,-6.093243225097660,-7.254431030273440,-2.3439234252929700,-0.6775590698242190,-9.9215716796875,-2.6958710693359400,-4.867411975097660,-7.615955480957030,-2.5761609863281200,-1.448492004394530,-8.686163623046880,-2.5330653564453100,-4.716577270507810,-7.6997525390625,-2.6431986328125000,-1.3646949462890600,-10.007762939453100,-3.4548329956054700,-7.254431030273440,-7.714117749023440,-1.8100164550781200,-0.7996633544921880,-8.039729174804690,-2.530671154785160,-6.940790612792970,-8.40843623046875,-1.9225439331054700,-3.5913024902343700
FALSE,-8.458714465332030,-2.360682836914060,-4.182670300292970,-8.429984045410160,-2.427720483398440,-4.204218115234380,-8.396465222167970,-2.4061726684570300,-4.271255761718750,-8.415618835449220,-2.3822306518554700,-4.199429711914060,-8.44674345703125,-2.3678654418945300,-4.295197778320310,-8.573636145019530,-2.4109610717773400,-4.165910888671880,-8.305485559082030,-2.4588451049804700,-4.134786267089840,-8.580818750000000,-2.427720483398440,-4.2329485351562500,-8.420407238769530,-2.3367408203125,-4.141968872070310,-8.449137658691410,-2.319981408691410,-4.290409375000000,-8.552088330078120,-2.43250888671875,-4.402936853027340,-8.463502868652340,-2.408566870117190,-4.151545678710940,-8.420407238769530,-2.384624853515630,-4.141968872070310,-8.444349255371090,-2.427720483398440,-4.091690637207030
FALSE,-8.461108666992190,-2.39420166015625,-4.206612316894530,-8.415618835449220,-2.3535002319335900,-4.285620971679690,-8.303091357421870,-2.43250888671875,-4.146757275390630,-8.44674345703125,-2.3822306518554700,-4.187458703613280,-8.473079675292970,-2.39420166015625,-4.158728283691410,-8.444349255371090,-2.398990063476560,-4.237736938476560,-8.470685473632810,-2.422932080078130,-4.2688615600585900,-8.544905725097660,-2.308010400390630,-4.292803576660160,-8.300697155761720,-2.319981408691410,-4.031835595703130,-8.40843623046875,-2.482787121582030,-4.247313745117190,-8.44674345703125,-2.327164013671880,-4.000710974121090,-8.449137658691410,-2.6001030029296900,-4.168305090332030,-8.48505068359375,-2.310404602050780,-4.094084838867190,-8.310273962402340,-2.501940734863280,-4.2688615600585900
