Class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
raise,-2.7916391357421900,-9.437942944335940,-10.563217724609400,-11.200075366210900,-11.640608471679700,-13.670891479492200,-8.341398583984380,-14.554351892089800,-5.066130712890630,-12.148179223632800,-4.084508032226560,-8.88009395751953,-3.593696691894530,-3.1411925781250000
raise,-2.583343591308590,-9.64623848876953,-2.6671406494140600,-9.390058911132810,-6.888118176269530,-10.216058483886700,-13.654132067871100,-13.436259716796900,-10.378864196777300,-16.33803212890630,-6.078878015136720,-16.019603308105500,-2.7916391357421900,-12.880804931640600
raise,-2.463633508300780,-9.323021264648440,-2.8012159423828100,-9.299079248046870,-2.70065947265625,-9.208099584960940,-2.446874096679690,-9.528922607421870,-8.781931689453120,-10.038887561035200,-15.78736574707030,-16.101006164550800,-9.718064538574220,-19.6133
lower,-8.748412866210940,2.7724855224609400,-6.41646044921875,2.2768857788085900,2.1715409057617200,1.3144167114257800,3.4620156005859400,-3.5434184570312500,-2.942473840332030,-8.657433203125000,-10.455478649902300,-14.62617794189450,-11.190498559570300,-16.819266662597700
lower,-0.7422025146484380,1.956062756347660,0.105344873046875,0.19153613281250000,-4.180276098632810,-3.268085266113280,-5.7700260009765600,-9.76116016845703,-8.427589843750000,-13.934253662109400,-11.274295617675800,-16.764200024414100,-9.004592443847660,-13.690045092773400
lower,-6.7277066650390600,5.102043737792970,-2.4396914916992200,4.395754248046880,0.3112462158203130,2.6479870361328100,-1.3742717529296900,-2.1260510742187500,-4.740519287109370,-7.666233715820310,-8.690952026367190,-10.922347973632800,-10.17056865234380,-16.421829187011700
none,-2.31758720703125,-9.524134204101560,-2.4133552734375,-9.5384994140625,-2.3965958618164100,-9.5384994140625,-2.272097375488280,-9.509768994140630,-2.47081611328125,-9.483432775878910,-2.6503812377929700,-9.56962403564453,-1.8914193115234400,-9.564835632324220
none,-9.07163009033203,-0.3016694091796880,-9.035717065429690,-0.3136404174804690,-8.8489693359375,0.055066638183593700,-8.949525805664060,-0.23223756103515600,-9.181763366699220,-0.13646949462890600,-8.585607153320310,-0.3399766357421880,-7.943961108398440,-0.0143652099609375
none,-9.054870678710940,-0.03591302490234380,-8.99501563720703,-0.00239420166015625,-8.999804040527340,0.13407529296875000,-9.016563452148440,0.05985504150390630,-9.023746057128910,-0.04548983154296880,-9.14824454345703,-0.0143652099609375,-9.083601098632810,0.07422025146484380
none,-9.131485131835940,-0.1149216796875,-8.808267907714840,-0.011971008300781200,-9.289502441406250,0.13407529296875000,-9.289502441406250,-0.16519991455078100,-9.143456140136720,-0.12210428466796900,-9.083601098632810,-0.028730419921875,-9.062053283691410,-0.031124621582031200
raise,-14.10903038330080,-0.00239420166015625,-14.714763403320300,-2.0063409912109400,-11.633425866699200,-1.2785036865234400,-8.372523205566410,0.45010991210937500,-5.9783215454101600,2.6096798095703100,-4.637568615722660,4.673481640625,-2.901772412109380,5.753266589355470
raise,-9.449913952636720,-9.662997900390630,-15.880739611816400,-13.2159931640625,-10.81460889892580,-15.413870288085900,-5.932831713867190,-12.401964599609400,-3.921702319335940,-8.061276989746090,-2.0254946044921900,-3.8953661010742200,-1.889025109863280,1.3239935180664100
lower,-8.463502868652340,2.1619640991210900,-7.0652890991210900,2.068590234375,-4.599261389160160,1.5945383056640600,-3.459621398925780,0.13407529296875000,-2.473210314941410,-3.1794998046875000,-4.5968671875,-6.153098266601560,-7.3861121215820300,-9.713276135253910
lower,-8.267178332519530,3.5386300537109400,-8.09479581298828,3.5338416503906200,-6.411672045898440,3.394977954101560,-5.5832782714843700,3.2417490478515600,-2.3295582153320300,1.1563994018554700,0.13407529296875000,-1.5227122558593700,-5.6383449096679700,-4.853046765136720
lower,-8.2743609375,3.754108203125,-8.212111694335940,4.065354418945310,-8.015787158203130,4.228160131835940,-7.187393383789060,3.744531396484380,-3.0645781250000000,1.7429788085937500,0.7230489013671880,-0.239420166015625,-2.6527754394531200,-0.28490999755859400
raise,-4.929661218261720,-9.749189160156250,-12.404358801269500,-12.662932580566400,-12.777854260253900,-16.366762548828100,-6.366182214355470,-16.922217333984400,-3.3159692993164100,-12.368445776367200,-1.0558429321289100,-8.80347950439453,-1.2737152832031200,-2.6886884643554700
raise,-7.371746911621090,-5.702988354492190,-7.539341027832030,-5.825092639160160,-12.600683337402300,-4.838681555175780,-15.64131944580080,-7.862558251953130,-14.257470886230500,-9.181763366699220,-8.80347950439453,-8.355763793945310,-4.759672900390620,-4.7884033203125
raise,-10.311826550293000,-12.181698046875000,-4.7764323120117200,-10.864887133789100,-2.0829554443359400,-1.656787548828130,-0.6177040283203130,3.9360675292968700,-2.437297290039060,5.633556506347660,-4.259284753417970,6.129156250000000,-5.1523219726562500,6.45476767578125
raise,-6.7037646484375,-15.713145495605500,-1.0414777221679700,-11.54244620361330,0.5339069702148440,-4.855440966796870,0.7278373046875,3.277662072753910,-2.0254946044921900,7.972691528320310,-4.04141240234375,7.398083129882810,-3.5003228271484400,7.532158422851560
raise,-2.1691467041015600,-4.414907861328130,-0.16519991455078100,0.4261678955078130,-1.20667763671875,4.762067102050780,-2.91134921875,8.02536396484375,-4.180276098632810,6.823474731445310,-5.463568188476560,7.268796240234380,-5.566518859863280,7.297526660156250
raise,-11.037269653320300,-14.604630126953100,-9.220070593261720,-19.371485632324200,-6.60799658203125,-12.114660400390600,-1.9584569580078100,-6.124367846679690,-0.3184288208007810,-1.8507178833007800,-0.6344634399414060,2.152387292480470,-2.5426421630859400,5.437231970214840
raise,-12.229582080078100,-15.569493395996100,-3.227383837890630,-11.212046374511700,-1.656787548828130,-5.293579870605470,-0.296881005859375,-0.6105214233398440,1.599326708984380,6.861781958007810,-2.2840683837890600,6.490680700683590,-3.507505432128910,7.841010437011720
raise,-9.49300958251953,-14.69082138671880,-5.161898779296880,-13.670891479492200,-1.6400281372070300,-7.996633544921880,-1.254561669921880,-2.9376854370117200,-1.3766659545898400,3.766079211425780,-1.2832920898437500,6.236895324707030,-4.781220715332030,6.294356164550780
lower,-2.7820623291015600,4.666299035644530,-1.0845733520507800,2.741360900878910,-3.366247534179690,0.6440402465820310,-5.710170959472660,-2.5761609863281200,-8.779537487792970,-5.700594152832030,-10.105925207519500,-10.764330664062500,-8.920795385742190,-14.413093994140600
lower,-5.985504150390630,7.501033801269530,-5.815515832519530,7.031770275878910,-3.0909143432617200,6.495469104003910,-1.886630908203130,6.4739212890625,-0.8020575561523440,5.2816088623046900,-2.370259643554690,1.936909143066410,-1.3048399047851600,-2.2673089721679700
lower,-6.612784985351560,7.115567333984380,-6.172251879882810,6.64630380859375,-4.127603662109380,6.883329772949220,-2.7844565307617200,6.672640026855470,-2.379836450195310,6.421248852539060,-1.7357962036132800,4.898536596679690,-3.5913024902343700,-0.1149216796875
lower,-5.173869787597660,8.161833459472660,-4.42448466796875,7.163451367187500,-3.5960908935546900,6.600813977050780,-3.385401147460940,7.089231115722660,-2.1906945190429700,6.385335827636720,-0.4213794921875,4.57771357421875,-0.7278373046875,-0.2154781494140630
raise,-10.050858569335900,-18.330007910156200,-5.221753820800780,-16.42901179199220,-0.4740519287109380,-9.6917283203125,-1.1827356201171900,-2.93050283203125,-1.1444283935546900,3.5338416503906200,-1.2473790649414100,5.391742138671880,-4.039018200683590,7.105990527343750
raise,-2.6767174560546900,-8.927977990722660,-2.6791116577148400,-3.0526071166992200,-2.6408044311523400,3.8283284545898400,-2.750937707519530,5.085284326171880,-3.632003918457030,6.959944226074220,-3.9360675292968700,7.556100439453120,-4.687846850585940,7.584830859375
raise,-9.1554271484375,-15.753846923828100,-7.5153990112304700,-16.697162377929700,-4.774038110351560,-11.116278308105500,-3.8091748413085900,-3.1771056030273400,-2.3582886352539100,0.1197100830078130,-1.1348515869140600,2.636016027832030,-3.071760729980470,6.224924316406250
raise,-5.844246252441410,-14.516044665527300,-3.423708374023440,-10.733206042480500,-2.8036101440429700,-5.310339282226560,-1.9393033447265600,1.867477294921880,-1.7549498168945300,3.859453076171880,-2.5665841796875000,5.815515832519530,-1.8722656982421900,7.513004809570310
lower,-6.758831286621090,6.452373474121090,-6.117185241699220,6.303932971191410,-3.42849677734375,5.719747766113280,-1.216254443359380,3.0238766967773400,-1.1563994018554700,0.5698199951171880,-2.4396914916992200,-3.459621398925780,-5.801150622558590,-8.573636145019530
lower,-5.307945080566410,7.52737001953125,-5.123591552734380,6.58884296875,-2.6384102294921900,5.849034655761720,-1.350329736328130,4.666299035644530,-1.8291700683593700,2.3367408203125,-4.352658618164060,-3.399766357421880,-4.57771357421875,-8.374917407226560
lower,-5.951985327148440,7.230489013671880,-5.200206005859380,6.763619689941410,-5.082890124511720,7.343016491699220,-4.1946413085937500,6.114791040039060,-0.7852981445312500,5.0948611328125000,-0.6464344482421870,2.2481553588867200,-2.2768857788085900,-2.0973206542968700
lower,-7.264007836914060,6.385335827636720,-6.56968935546875,6.87614716796875,-5.683834741210940,6.066907006835940,-4.244919543457030,6.198588098144530,-1.68551796875,5.729324572753910,0.7038952880859380,2.5665841796875000,-2.4564509033203100,-2.8754361938476600
lower,-6.742071875,7.541735229492190,-5.135562561035160,7.149086157226560,-2.674323254394530,4.3622354248046900,-0.603338818359375,4.034229797363280,-0.12449848632812500,-0.8212111694335940,-5.61200869140625,-5.023035083007810,-5.966350537109380,-10.491391674804700
raise,-9.145850341796880,-18.385074548339800,-4.048595007324220,-16.371550952148400,-2.3487118286132800,-10.970232006835900,-0.11731588134765600,-4.189852905273440,1.4963760375976600,1.7741034301757800,-0.3447650390625,5.137956762695310,-3.5721488769531200,7.036558679199220
raise,-8.396465222167970,-12.617442749023400,-11.247959399414100,-16.747440612793000,-7.223306408691410,-17.68357346191410,-5.080495922851560,-14.202404248046900,-4.819527941894530,-8.090007409667970,-2.530671154785160,-4.690241052246090,-4.165910888671880,1.3263877197265600
raise,-12.514492077636700,-14.259865087890600,-8.573636145019530,-17.673996655273400,-4.218583325195310,-16.780959436035200,-2.8467057739257800,-11.635820068359400,-2.039859814453130,-5.7125651611328100,-2.2577321655273400,-0.05027823486328130,-1.3623007446289100,6.138733056640630
lower,-6.564900952148440,6.315903979492190,-5.331887097167970,5.923254907226560,-2.923320227050780,5.753266589355470,-1.1731588134765600,4.5322237426757800,-2.288856787109380,2.2601263671875,-1.2856862915039100,-3.5386300537109400,-4.498704919433590,-8.37012900390625
lower,-6.0716954101562500,5.786785412597660,-6.320692382812500,5.652710119628910,-6.301538769531250,5.5258174316406200,-4.991910461425780,5.786785412597660,-4.594472985839840,6.335057592773440,-3.071760729980470,5.8610056640625,-2.059013427734380,3.0334535034179700
lower,-5.0948611328125000,-3.1771056030273400,-4.778826513671870,1.714248388671880,-3.651157531738280,4.582501977539060,-3.7158009765625,6.026205578613280,-3.7900212280273400,6.7803791015625,-4.122815258789060,6.768408093261720,-4.563348364257810,6.4356140625
lower,-7.666233715820310,3.778050219726560,-8.032546569824220,3.42849677734375,-7.146691955566410,4.958391638183590,-6.440402465820310,4.695029455566410,-5.449202978515630,3.1100679565429700,0.15322890625,2.2960393920898400,-2.1356278808593700,-1.3766659545898400
none,-8.959102612304690,0.1580173095703130,-9.1554271484375,0.239420166015625,-9.05965908203125,0.16998831787109400,-9.045293872070310,0.3136404174804690,-9.052476477050780,0.15322890625,-9.100360510253910,0.354341845703125,-9.02135185546875,0.3016694091796880
none,-1.1540052001953100,-9.87608184814453,-1.0869675537109400,-9.737218151855470,-1.3335703247070300,-9.698910925292970,-1.3120225097656200,-10.036493359375,-0.9600748657226560,-9.816226806640630,-0.8810662109375000,-9.926360083007810,-0.6200982299804690,-9.809044201660160
none,-9.14824454345703,1.4101847778320300,-9.244012609863280,1.4125789794921900,-9.332598071289060,1.37906015625,-9.303867651367190,1.2808978881835900,-9.344569079589840,1.455674609375,-8.966285217285160,1.4987702392578100,-8.959102612304690,1.4820108276367200
none,-9.526528405761720,0.00718260498046875,-9.277531433105470,0.2657563842773440,-9.138667736816410,0.08140285644531250,-9.267954626464840,0.2561795776367190,-9.131485131835940,0.5961562133789060,-9.181763366699220,0.6967126831054690,-9.107543115234380,0.5315127685546870
none,-9.37808790283203,1.3024457031250000,-9.239224206542970,0.928950244140625,-9.1554271484375,0.7733271362304690,-9.277531433105470,0.7541735229492190,-9.208099584960940,0.8068459594726560,-9.291896643066410,0.8212111694335940,-9.121908325195310,0.7541735229492190
none,-9.320627062988280,-0.201112939453125,-9.112331518554690,0.0430956298828125,-9.141061938476560,0.13168109130859400,-8.990227233886720,0.229843359375,-9.162609753417970,0.26336218261718700,-9.102754711914060,0.32561142578125000,-9.04050546875,0.25139117431640600
none,-9.14824454345703,1.0773907470703100,-9.4618849609375,1.0390835205078100,-9.169792358398440,1.1875240234375,-9.023746057128910,1.2018892333984400,-8.935160595703120,1.0941501586914100,-8.86094034423828,1.2234370483398400,-9.028534460449220,1.3383587280273400
none,-8.927977990722660,1.6448165405273400,-8.870517150878910,2.437297290039060,-8.772354882812500,2.04943662109375,-9.006986645507810,1.426944189453130,-9.265560424804690,1.024718310546880,-9.296685046386720,0.44532150878906200,-9.114725720214840,0.22505495605468700
