Class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
raise,-4.084508032226560,-9.045293872070310,-4.084508032226560,-9.066841687011720,-3.9432501342773400,-8.916006982421880,-3.7038299682617200,-8.99501563720703,-4.244919543457030,-9.418789331054690,-10.151415039062500,-10.12507882080080,-11.949460485839800,-13.78341895751950,-10.151415039062500,-15.083470458984400,-4.697423657226560,-13.395558288574200,-3.1651345947265600,-8.283937744140630,-0.47165772705078100,-1.9680337646484400,-2.8036101440429700,3.9145197143554700,-4.223371728515630,6.1076084350585900,-5.6311623046875,5.5258174316406200
raise,-7.785943798828120,-0.5674257934570310,-8.56166513671875,-0.7350199096679690,-9.85692823486328,-0.82360537109375,-11.298237634277300,-1.1707646118164100,-13.596671228027300,-1.7310078002929700,-12.50730947265630,-1.7238251953125,-9.533711010742190,-1.2665326782226600,-7.6087728759765600,0.9792284790039060,-6.792350109863280,3.986345764160160,-4.220977526855470,4.637568615722660,-2.195482922363280,7.448361364746090,-2.114080065917970,9.129090930175780,-1.924938134765630,9.45470235595703,-1.7405846069335900,9.583989245605470
raise,-4.594472985839840,-8.456320263671880,-5.078101721191410,-8.518569506835940,-8.044517578125,-9.334992272949220,-10.711658227539100,-10.905588562011700,-9.713276135253910,-11.48498536376950,-7.781155395507810,-10.266336718750000,-5.810727429199220,-8.221688500976560,-5.781997009277340,-3.0166940917968700,-3.5673604736328100,1.0989385620117200,-3.5793314819335900,3.890577697753910,-2.6384102294921900,6.622361791992190,-2.6575638427734400,8.087613208007810,-3.478775012207030,8.2743609375,-4.331110803222660,8.21690009765625
lower,-8.295908752441410,3.1004911499023400,-7.3932947265625,2.4875755249023400,-4.984727856445310,1.7956512451171900,-3.6367923217773400,-0.7517793212890620,-3.6846763549804700,-3.9528269409179700,-5.815515832519530,-7.599196069335940,-11.01332763671880,-12.196063256835900,-7.0652890991210900,-12.861651318359400,-5.968744738769530,-11.985373510742200,-4.4819455078125,-10.675745202636700,-4.369418029785160,-9.952696301269530,-3.258508459472660,-9.641450085449220,-2.7533319091796900,-9.629479077148440,-2.626439221191410,-9.375693701171870
lower,-7.999027746582030,3.5338416503906200,-7.6614453125,3.2561142578125,-5.628768103027340,2.4205378784179700,-4.168305090332030,0.8212111694335940,-5.111620544433590,-1.2808978881835900,-5.379771130371090,-5.027823486328130,-7.864952453613280,-9.629479077148440,-7.582436657714840,-12.205640063476600,-6.337451794433590,-12.449848632812500,-4.948814831542970,-11.884817041015600,-4.302380383300780,-10.568006127929700,-3.9264907226562500,-10.232817895507800,-2.7269956909179700,-9.885658654785160,-1.6472107421875,-9.631873278808590
lower,-7.982268334960940,5.2456958374023400,-7.630320690917970,5.061342309570310,-6.849810949707030,5.070919116210940,-4.867411975097660,5.463568188476560,-4.352658618164060,3.4548329956054700,-3.845087866210940,-0.6057330200195310,-5.257666845703130,-3.873818286132810,-7.189787585449220,-7.659051110839840,-7.474697583007810,-10.280701928710900,-8.226476904296870,-12.550405102539100,-6.081272216796880,-12.981361401367200,-5.116408947753910,-11.473014355468700,-3.928884924316410,-10.46984385986330,-3.3494881225585900,-9.483432775878910
raise,-2.9640216552734400,-9.449913952636720,-4.829104748535160,-9.80665,-8.307879760742190,-11.221623181152300,-9.241618408203120,-12.416329809570300,-8.348581188964840,-12.052411157226600,-8.305485559082030,-9.555258825683590,-4.3622354248046900,-8.542511523437500,-3.6343981201171900,-5.066130712890630,-3.782838623046880,1.9871873779296900,-2.882618798828130,4.8506525634765600,-4.967968444824220,6.136338854980470,-4.76924970703125,6.193799694824220,-6.172251879882810,5.992686755371090,-6.598419775390620,5.892130285644530
raise,-4.278438366699220,-9.188945971679690,-7.510610607910160,-9.849745629882810,-10.283096130371100,-12.157756030273400,-7.510610607910160,-14.369998364257800,-5.983109948730470,-13.462595935058600,-2.906560815429690,-10.261548315429700,-3.459621398925780,-4.972756848144530,-4.067748620605470,-0.033518823242187500,-4.656722229003910,3.5003228271484400,-5.892130285644530,4.704606262207030,-6.667851623535160,5.518634826660160,-6.833051538085940,5.717353564453120,-6.622361791992190,5.793968017578120,-7.053318090820310,5.7077767578125
raise,-2.0733786376953100,-9.90241806640625,-3.612850305175780,-9.617508068847660,-6.567295153808590,-10.405200415039100,-8.494627490234380,-12.054805358886700,-6.325480786132810,-13.646949462890600,-5.760449194335940,-11.815385192871100,-4.050989208984380,-10.05564697265630,-4.311957189941410,-7.769184387207030,-3.385401147460940,-4.754884497070310,-4.778826513671870,1.1085153686523400,-5.353434912109380,4.153939880371090,-5.741295581054690,5.700594152832030,-5.741295581054690,6.138733056640630,-6.562506750488280,6.2201359130859400
raise,-2.9544448486328100,-9.390058911132810,-4.410119458007810,-9.430760339355470,-6.256048937988280,-9.674968908691410,-7.474697583007810,-12.260706701660200,-8.238447912597660,-14.81771407470700,-7.481880187988280,-13.397952490234400,-4.4196962646484400,-9.734823950195310,-4.182670300292970,-5.0182466796875,-2.636016027832030,-2.4756045166015600,-4.84586416015625,3.4955344238281200,-4.687846850585940,5.679046337890620,-5.102043737792970,6.270414147949220,-5.015852478027340,7.055712292480470,-5.202600207519530,7.321468676757810
