aX,aY,aZ,gX,gY,gZ
-8.599972363,-1.424549988,2.887407202,-7.709923664,-0.007633588,-8.404580153
-9.528922607,-1.328781921,2.363077039,4.839694656,-11.72519084,1.633587786
-9.174580762,-1.381454358,3.184288208,-10.7480916,-1.86259542,1.183206107
-9.083601099,-0.588973608,9.239224207,20.22137405,-9.572519084,12.0610687
-11.50413898,-0.823605371,11.78426057,1.961832061,-116.648855,-5.809160305
-12.53603989,-0.694318481,8.149862451,8.27480916,-156.5648855,6.053435115
-10.69489882,-0.658405457,5.872976672,9.984732824,-150.1450382,16.18320611
-6.181828687,-0.794874951,4.620809204,16.63358779,-105.5496183,14.66412214
-2.925714429,-0.572214197,4.97515105,14.61832061,-69.71755725,5.083969466
-0.787692346,-0.610521423,6.926425403,-1.145038168,-33.20610687,3.786259542
-0.404620081,-0.344765039,8.051700183,-7.442748092,-9.198473282,-0.79389313
-0.289698401,-0.323217224,9.739612354,-3.564885496,1.618320611,-2.450381679
-0.569819995,-0.165199915,10.40520042,-14.35877863,-3.083969466,-7.854961832
-0.256179578,-0.56263739,10.40280621,-1.86259542,2.435114504,1.381679389
-0.567425793,-0.49081134,10.45069025,-2.58778626,-1.72519084,0.748091603
-0.63446344,-0.397437476,10.23042369,3.419847328,-7.404580153,3.473282443
-9.291896643,-1.644816541,2.612074011,-2.58778626,-3.053435115,-2.954198473
-8.992621436,-1.640028137,3.210624426,-6.27480916,-1.511450382,2.603053435
-9.030928662,-1.742978809,4.16830509,-7.816793893,-4.58778626,-1.320610687
-9.612719666,-1.565807886,6.133944653,-3.664122137,-4.244274809,9.221374046
-9.356540088,-1.644816541,11.03966385,7.916030534,-49.03816794,-4.190839695
-13.19444535,-1.747767212,11.58314763,32.00763359,-153.8778626,5.900763359
-12.84968031,-1.795651245,7.754819177,38.58778626,-177.5267176,10.46564885
-7.754819177,-1.417367383,4.558559961,16.60305344,-130.4732824,5.175572519
-2.990357874,-0.565031592,4.362235425,25.24427481,-59.85496183,-2.229007634
-1.594538306,-0.411802686,7.117961536,-7.824427481,-45.29770992,-8.916030534
-0.196324536,-0.711077893,8.14746825,6.41221374,-34.61832061,1.221374046
0.7206547,-0.258573779,8.066065393,5.213740458,0.160305344,2.083969466
-0.026336218,-0.237025964,10.41717142,-31.27480916,-15.72519084,-9.633587786
0.263362183,-0.555454785,10.63743798,-1.198473282,-2.122137405,-0.687022901
0.414196887,-0.725443103,10.30943235,0.870229008,1.366412214,1.435114504
0.385466467,-0.754173523,10.41477722,-6.099236641,-3.648854962,-0.236641221
-8.858546143,-2.60967981,3.011905688,16,-20.22137405,3.900763359
-9.011775049,-2.482787122,2.35110603,11.12977099,-18.96946565,3.312977099
-8.860940344,-2.53785376,2.602497205,13.66412214,0.229007634,-4.419847328
-8.329427576,-3.797203833,7.910442285,47.16030534,9.328244275,-4.06870229
-10.30224974,-4.87459458,10.06043538,100.9465649,-55.17557252,-37.51908397
-10.66137999,-5.149927771,9.030928662,71.67938931,-115.6717557,-50.32824427
-10.48899747,-2.030283008,6.495469104,51.90076336,-137.3740458,-64.20610687
-7.012616663,-0.493205542,4.39814845,29.49618321,-110.6259542,-53.51145038
-3.54820686,0.052672437,4.778826514,36.94656489,-34.09160305,-4.389312977
-2.91374342,0.205901343,8.463502869,15.8778626,-16.21374046,1.732824427
-1.798045447,-0.306457813,8.10437262,21.3740458,5.93129771,8.984732824
-1.850717883,-0.907402429,9.325415466,-3.076335878,1.832061069,7.076335878
-2.276885779,-0.878672009,9.746794958,9.229007634,7.625954198,4.145038168
-2.43729729,-0.833182178,10.1011368,-3.442748092,1.664122137,0.122137405
-2.626439221,-0.770932935,10.12268462,-4.290076336,-5.641221374,-2.923664122
-2.461239307,-0.395043274,9.837774622,-3.595419847,-5.160305344,-1.732824427
-8.961496814,-1.862688892,2.202665527,-28.50381679,-2.13740458,0.732824427
-9.097966309,-1.994369983,2.789244934,-28.54961832,5.93129771,-7.633587786
-8.798691101,-2.37983645,3.73495459,-37.42748092,-4.519083969,-10.36641221
-8.985438831,-1.501164441,7.915230688,-28.45801527,-6.122137405,-13.30534351
-12.80179628,-1.541865869,11.32457385,38.03053435,-103.3664122,14.38167939
-13.59667123,-2.813186951,8.485050684,38.27480916,-161.3740458,29.90076336
-11.11388411,-2.516305945,5.920860706,32.51908397,-163.4274809,30.59541985
-6.500257507,-1.491587634,5.008669873,28.09923664,-121.0916031,18.20610687
-2.834734766,-0.191536133,5.111620544,6.839694656,-71.55725191,14.29770992
