aX,aY,aZ,gX,gY,gZ
-8.6526448,1.474828223,5.274426257,19.32824427,31.29007634,-13.60305344
-8.607154968,0.900219824,5.293579871,16.33587786,29.71755725,-12.16793893
-9.167398157,0.74938512,4.654328027,27.77099237,25.82442748,-10.38931298
-9.165003955,0.622492432,4.630386011,21.96183206,23.21374046,-9.557251908
-9.449913953,0.555454785,5.961562134,3.854961832,1.648854962,1.526717557
-9.440337146,0.306457813,7.87452926,-6.786259542,-32.45801527,-0.083969466
-9.74918916,0.390254871,7.98945094,-12.3740458,-79.18320611,-0.961832061
-10.20408748,-0.083797058,8.597578162,-30.81679389,-107.6870229,1.099236641
-8.48026228,-0.294486804,8.042123376,-1.251908397,-114.3435115,5.832061069
-6.184222888,-0.49081134,7.448361365,-7.641221374,-94.38167939,-1.732824427
-4.594472986,0.110133276,7.654262708,-0.923664122,-78.84732824,-2.549618321
-2.312798804,-0.227449158,7.824251025,-11.48854962,-74.49618321,-8.175572519
-0.500388147,0.181959326,6.83544574,-19.64122137,-53.12977099,15.57251908
0.529118567,-1.563413684,9.512163196,22.7480916,-6.778625954,4.488549618
-0.004788403,-1.460463013,10.34534537,158.7328244,-0.625954198,15.33587786
0.347159241,2.60967981,7.754819177,250.129771,1.358778626,20.48091603
-0.04309563,10.84573352,1.223437048,250.129771,-10.74045802,-16.77099237
0.397437476,13.19923375,-0.644040247,-97.38167939,-11.24427481,-8.335877863
-0.162805713,11.34612167,2.231395947,-250.1374046,3.396946565,8.496183206
-0.205901343,3.974374756,6.84981095,-250.1374046,-14.45801527,18.96946565
0.687135876,-2.427720483,9.658209497,-189.3129771,-6.061068702,1.083969466
0.191536133,-3.493140222,10.29267294,-3.213740458,1.885496183,12.36641221
0.110133276,-1.94648595,10.15620344,10.08396947,-2.06870229,2.503816794
0.380678064,-2.245761157,10.12747302,-0.251908397,-3.091603053,0.900763359
0.258573779,-1.857900488,10.30943235,-3.06870229,-3.290076336,2.946564885
-9.452308154,-0.541089575,2.226607544,-19.64122137,12.83969466,8.511450382
-9.25837782,-0.617704028,2.377442249,-8.549618321,-2.190839695,14.09923664
-9.69172832,-0.919373438,2.547430566,-2.458015267,-0.709923664,0.648854962
-9.861716638,-0.004788403,4.642357019,8.709923664,-6.938931298,3.969465649
-8.920795386,-0.366312854,8.183381274,-44.41984733,-51.50381679,1.633587786
-11.59751284,-0.045489832,8.583212952,-29.09160305,-110.6793893,-5.832061069
-11.26471881,-1.441309399,7.635109094,-39.53435115,-140.6564885,-22.32824427
-8.458714465,-1.400607971,7.108384729,39.1221374,-112.6412214,-7.458015267
-6.399701038,-0.629675037,6.555324146,16.44274809,-106.3435115,-1.580152672
-3.251325854,-0.715866296,6.390124231,17.02290076,-115.8625954,17.86259542
-0.031124622,0.272938989,5.406107349,12.53435115,-65.82442748,15.90839695
0.684741675,-0.392649072,8.906430176,-38.61068702,-5.694656489,6.374045802
0.739808313,-1.094150159,9.957484705,10.99236641,-2.679389313,3.190839695
0.107739075,-2.908955017,11.12585511,108.9923664,-6.122137405,2.595419847
0.912190833,0.902614026,7.261613635,250.129771,22.11450382,7.076335878
-0.10055647,12.03804595,-1.242590662,250.129771,-35.49618321,-20.10687023
0.241814368,11.77707797,-0.380678064,-116.3129771,-9.442748092,-9.709923664
0.160411511,13.52723938,1.24019646,-250.1374046,10.12977099,-4.86259542
-0.229843359,2.92810863,7.618349683,-250.1374046,-10.67938931,4.65648855
0.246602771,-2.765302917,9.785102185,-186.9083969,-6.320610687,13.15267176
0.483628735,-4.357447021,10.33816277,5.641221374,-6.435114504,10.38931298
0,-2.317587207,10.03649336,19.22137405,-2.595419847,2.572519084
0.198718738,-2.58094939,9.993397729,-1.732824427,-1.679389313,-0.748091603
0.215478149,-2.533065356,9.976638318,4.488549618,-1.450381679,1.778625954
0.239420166,-2.114080066,10.25197151,9.496183206,-1.816793893,-2.977099237
-9.524134204,0.603338818,2.52348855,4.290076336,-3.694656489,10.23664122
-9.562441431,-0.308852014,3.610456104,0.27480916,-4.488549618,-4.404580153
-9.576806641,0.098162268,6.342240198,13.49618321,-27.35114504,4.076335878
-11.23359419,-0.241814368,8.942343201,-42.47328244,-91.69465649,-20.22137405
-11.43710133,-1.697488977,8.66701001,-30.96183206,-137.5648855,-22.02290076
-9.689334119,-1.26892688,7.977479932,42.71755725,-144.1755725,-6.732824427
-7.187393384,-0.069431848,6.689399438,26.6870229,-127.4045802,9.65648855
-3.69185896,0.033518823,6.519411121,-15.79389313,-90.73282443,2.709923664
-0.77811554,-0.881066211,6.126762048,-0.20610687,-77.11450382,3.419847328
0.914585034,-0.459686719,8.487444885,-10.19083969,-15.29007634,9.763358779
0.5770026,-1.003170496,9.308656055,-2.946564885,-8.053435115,1.167938931
0.555454785,-1.71664259,9.931148486,18.1221374,0.732824427,4.870229008
0.541089575,-2.298433594,11.06839427,250.129771,0.335877863,4.41221374
1.323993518,5.245695837,3.770867615,250.129771,-16.08396947,10.02290076
0.301669409,12.35886897,-0.960074866,112.0992366,-41.45801527,-12.18320611
0.289698401,10.18732806,-1.216254443,63.90076336,-21.42748092,-3.450381679
0.509964954,13.72356392,-2.918531824,-209.6870229,11.5648855,-0.786259542
-0.299275208,7.105990527,3.320757703,-250.1374046,13.88549618,11.2519084
0.311246216,2.530671155,7.716511951,-250.1374046,2.763358779,15.79389313
-0.311246216,-5.585672473,9.591171851,-200.0381679,1.473282443,-0.297709924
0.936132849,-4.314351392,9.986215125,106.1145038,12.12977099,16.05343511
-0.526724365,-0.622492432,10.02452235,-29.99236641,0.603053435,-9.038167939
-0.198718738,-3.347093921,10.673351,0.267175573,-1.167938931,5.572519084
-0.169988318,-1.810016455,10.05564697,9.259541985,-1.473282443,-2.488549618
-0.023942017,-2.257732166,10.19929907,0.465648855,0.595419847,-0.251908397
-9.038111267,-0.150834705,2.822763757,16.57251908,3.366412214,4.106870229
-9.70609353,-0.586579407,2.95683905,-5.687022901,-0.79389313,-3.977099237
-9.282319836,-0.160411511,2.669534851,11.35877863,-2.854961832,2.160305344
-8.973467822,-0.234631763,4.699817859,-7.167938931,-4.679389313,-2.374045802
-10.43393083,-1.060631335,9.572018237,2.251908397,-53.70229008,-20.3740458
-12.16493864,-0.031124622,8.961496814,-11.38167939,-131.1450382,-2.984732824
-11.77228956,-1.24019646,7.613561279,-13.41221374,-157.7175573,-19.29007634
-8.736441858,-0.725443103,6.112396838,18.74045802,-141.4656489,-10.28244275
-4.515464331,-0.538695374,5.372588525,5.938931298,-115.9007634,-4.854961832
